,0
0,对不起，第一次看到这个视频我划走了，现在我回来了
1,火了赞我
2,四针扎没了一个天才少年
3,从苦难者身上汲取力量，又有谁去在意苦难者的苦难？
4,昨天晚上班主任刚在班里面放过，今天回来就刷到了？！
5,《人生海海》的感觉
6,没绷住
7,二舅是一位伟大的“中医”，治好了千万人恐惧、担忧、自卑、孤独的心理疾病。
8,火去视频号儿了都！衣戈强！！
9,我第一次见到如此恐怖的硬币数
10,为小侄子点赞
11,太棒了 我因此回答了60+问题
12,一键三连数疯狂上涨
13,我就不三连了啊，先去投俩币再点赞收藏
14,这段有种余华的感觉
15,《看会了》
16,欢迎来到币比赞多系列
17,为二舅献上人生第一个一键三连
18,第一次见那么多人观看
19,看第一遍懵懂，第二遍触动，第三遍敬仰、感动
20,敬二舅
21,popping或者poppin，不是poping
22,欢迎观看2022年b站最佳视频
23,2022年最伟大的作品
24,他大舅他二舅都是他舅，高桌子低板凳都是木头
25,1200一条烟
26,我觉得不如用土方法……
27,二舅的针 是什么针？
28,希望这视频的播放不会引来一些别有用心的人，打扰二舅宁静的生活。
29,大家奋斗不是为了像二舅一样吃苦，取得胜利是精神和物质的双重丰收，而不是无奈的自我升华。
30,二舅与姥姥的故事由此开始...
31,感觉河北邯郸
32,回湖南32天，决定了我的基本路线
33,夜里两点九千加在看！
34,残废的二舅是最快乐的人，讽刺不讽刺？
35,要愤怒，不要沉默
36,敬二舅！！！[666]谢谢作者拍摄与分享，你写的关于“遗憾”的结语，很受用！！
37,真是一个让人感到绝望的视频！
38,年度宝藏视频！！直接封神之作
39,回来点个三连
40,入站必刷
41,敬二舅。
42,敬二舅！
43,可恶，为什么一个视频只能投两个币
44,苦难无法治愈苦难，二舅苦难的根源是什么
45,不要打扰二舅！
46,欢迎来到币比赞多系列
47,这个视频很可能，变成点赞量和硬币量最多的视频
48,敬二舅
49,见证二舅打破全站投币量记录
50,看完这个视频我想起一句话那就是这个世界只有一种英雄主义，就是认清真相之后依然热爱生活
51,啊                                                                                                这
52,不要美化苦难
53,有没有可能拍一集 刚刚
54,菜根谭推荐一下，随遇而安，逆来顺受，不思过往，不念将来。
55,敬二舅
56,敬二舅
57,敬二舅
58,回湖南32天，决定了我的基本路线
59,敬二舅
60,姥姥年纪大了身体很多部位不自觉的抖动，像是在跳poping，很可爱的形容
61,低保呢？农合呢？有没有？
62,尊唐
63,美化苦难就是吃人
64,二舅，其实就是每一个勤劳朴实顽强平凡的父母的缩影。
65,太感人了！平凡中的伟大。
66,看了好几次了，真的很感人
67,有没有导演比较心动的，搞一部《我的二舅》电视剧。可能估计现在这年头没人愿意拍这种生活片吧
68,入站必刷入站必刷入站必刷
69,敬二舅
70,致敬二舅，感谢作者！
71,《活着》
72,致敬二舅
73,929
74,敬二舅
75,？
76,。。
77,敬二舅
78,  q。                   
79,敬二舅
80,敬二舅
81,敬二舅
82,up很棒 也敬二舅
83,币比赞多系列！
84,致敬二舅
85,敬二舅
86,敬二舅
87,一天不看浑身难受
88,看了好几遍啦啦啦啦啦啦
89,二舅的真实想法呢，哪怕说句话也好啊。
90,我的天，七百万
91,敬二舅
92,三刷了
93,8.8万＋的人都出来！
94,你精神内耗，是因为真有人骑在你头上作威作福
95,"“但凡读过书的都知道理应痛斥，凭己所学，为不公之人谋一个公平"""
96,强烈要求进入必看视频
97,敬二舅!
98,现在独生子女没有了七大姑八大姨，该高兴还是该悲哀
99,敬二舅
100,敬二舅
101,所以二舅有你，他注定要名扬天下，无论以何种方式～
102,一刷给视频，二刷给二舅。三刷给网友
103,恭喜你发现宝藏
104,在其他地方看过，特意来b站一键三连的
105,反复观看反复感动
106,敬二舅
107,他曲着的腿上，坐的是和老人一模一样的神，和整个村子守望相助
108,逻辑好像不太通啊，大兄弟
109,再来亿遍
110,"""当埋怨自己没鞋穿的时候，却发现还有人没有脚。"""
111,敬二舅
112,敬二舅
113,弹幕
114,敬二舅
115,二万多的人都出来吧
116,看到点在进来的给我点个赞
117,敬二舅
118,敬二舅
119,敬二舅！
120,原来是变形记呀
121,敬二舅
122,看了还来
123,六刷
124,敬二舅
125,《1.6w人》
126,敬二舅
127,敬二舅
128,现在是天才老头（doge
129,敬二舅
130,敬二舅
131,致敬二舅
132,敬二舅
133,敬二舅
134,敬二舅
135,为什么打不开了
136,搞笑
137,敬二舅
138,敬二舅
139,武训
140,敬二舅
141,致二舅
142,"3,000万播放纪念!"
143,3000万！
144,敬二舅
145,宝贝我来看了
146,我大舅在家人群里发了这个视频
147,四天0.3亿播放量，就离谱
148,敬二舅
149,这视频get到了我的点，我父亲他们几兄弟，我母亲她的几个兄弟不就是这样的人么
150,致敬二舅！
151,敬二舅
152,敬二舅
153,致敬二舅
154,敬二舅
155,敬二舅
156,先投币为敬
157,敬二舅
158,孙少安
159,敬二舅
160,开头这片段太有意思了
161,敬二舅
162,敬二舅
163,我二舅整挺好
164,敬二舅
165,建议成为入站必刷
166,恭喜你发现镇站之宝
167,敬二舅
168,歌颂苦难，非啥即啥
169,敦一敦伟大的友谊
170,敬二舅！！
171,敬二舅
172,^_^
173,敬二舅
174,致敬二舅
175,敬二舅
176,币比赞多系列！！
177,能不能破亿！
178,致敬二舅
179,二舅也治好了我的精神内耗
180,哭唧唧
181,1啊
182,敬二舅
183,敬二舅
184,敬二舅
185,看哭了真的很好的人
186,敬二舅！
187,神知道我看了多少遍
188,12W
189,建议入选豆瓣Top 250
190,来二刷了
191,此视频必火!
192,我是老粉
193,恭喜你发现了镇站之宝
194,现在社会太卷了，搞点反卷的内容很舒适
195,没有人觉得这个姥姥很可爱嘛？
196,敬二舅
197,敬二舅
198,语言已经失去了它应有的能力，除了掌声与热泪再无其他可表达我的心情
199,视频真的太火了
200,视频真的太火了
201,视频真的太火了
202,敬二舅
203,敬二舅
204,希望大家都能早日拔出心中的那根刺​
205,致敬二舅
206,敬二舅
207,感谢二舅的故事，突然有了继续生活下去的动力。
208,世界上只有一种真正的英雄主义，那就是在认识生活的真相后依然热爱生活。
209,---
210,尊唐NB！
211,二舅他不仅仅是一个人，这个词更像是一个符号，代表着是一种坚韧，顽强，淡泊，执着的灵魂
212,第二个一亿播放可不可以！​
213,这不就是，电影感吗
214,从官媒过来的
215,入站必刷！！
216,敬二舅
217,第二遍
218,敬二舅
219,在二舅面前，我如此渺小。
220,14an
221,敬二舅
222,难能可贵
223,老师让写观后感，再看一遍
224,镇站之宝啦
225,苦难并不会摧毁人，奴役才会摧毁人。
226,敬二舅
227,火出圈了！
228,个人推测。是青霉素，注射青霉素中含本甲醇，能提高青霉素溶解，但是也有可能导致肌肉坏死
229,敬二舅
230,敬二舅
231,敬二舅
232,敬二舅
233,敬二舅
234,敬苦难
235,但是扛过苦难的人值得歌颂。
236,致敬二舅，平凡又不平凡！
237,全文背诵
238,敬二舅
239,致敬二舅！
240,敬二舅
241,二舅越多，周公子越舒服
242,常看常新
243,鲁迅
244,每多一个二舅的故事，我就深感前路漫漫。不用人民负重前行的社会何时会来。
245,敬二舅
246,敬二舅
247,敬二舅
248,敬二舅
249,敬二舅
250,是金子果然到哪里都会发光！！！尊唐YYDS
251,敬二舅
252,致敬每一个认真生活的人
253,作者告诉我们不要乱打针，否则后果很严重
254,谁也不想当二舅啊，都想当周公子
255,敬二舅
256,580万硬币啊厉害死了哈哈
257,敬二舅
258,保护
259,敬二舅
260,致敬二舅
261,敬二舅
262,敬二舅
263,我在太原车上广播听到的
264,致敬
265,敬二舅
266,敬二舅
267,三天可以学会木匠?真神童也
268,没经历过苦难的人才会歌颂苦难
269,莫名有一种《活着》的感觉
270,敬二舅
271,敬二舅
272,终于找到原视频了
273,这个三连，我为二舅而投
274,敬二舅
275,zhi
276,敬二舅
277,阿甘正传
278,敬二舅
279,敬二舅
280,敬二舅
281,笑着哭了
282,敬二舅
283,真善美
284,敬二舅
285,敬二舅
286,敬二舅
287,苯甲醇好像是
288,硬核二舅
289,刚被二舅治好，又被周公子背刺了。。
290,敬二舅
291,敬二舅
292,敬二舅
293,不要乱打针
294,谢谢二舅！努力生活！争取做世界上第二快乐的人
295,六舅
296,六舅
297,真正优秀的人都在埋头苦干 ，不像我在这里..
298,敬二舅
299,《回村三天，闰土治好了我的精神内耗》
300,在历史的巨轮下，每个人都如此渺小
301,敬二舅
302,敬二舅
303,Salute
304,Hi
305,敬二舅
306,用平实的文字语音书写了华夏民族的悟道，历史记录了，一直前进着，在路上至永远
307,虽然生活没有如果，但是二舅这种人不打错针该有多好
308,从小生活在小镇上，我见过二舅这样的人
309,敬二舅
310,敬二舅
311,《币比赞多》
312,敬二舅
313,啊啊
314,三千三万+播放量了
315,敬二舅
316,敬二舅
317,敬二舅
318,旁注吻·高
319,三刷，敬二舅
